state_code,state_name,sex,A,B,c,r2_log_mu,rmse_log_mu,age_min,age_max
0,República Mexicana,female,0.0006644991326,1.93858377e-05,1.103558927,0.9998637066,0.01747255067,30,90
0,República Mexicana,male,0.003969293897,2.833163211e-05,1.098685396,0.9981572083,0.04568004211,30,90
0,República Mexicana,total,0.002309876537,2.138849428e-05,1.102345749,0.9989340032,0.03993369086,30,90
1,Aguascalientes,female,0.0006165191242,1.770468447e-05,1.103188444,0.9997281738,0.02450025762,30,90
1,Aguascalientes,male,0.003579244791,2.240737396e-05,1.100599539,0.9975579503,0.05313904964,30,90
1,Aguascalientes,total,0.002101619125,1.79279873e-05,1.103281936,0.9984508616,0.04820332295,30,90
2,Baja California,female,0.0006451877692,1.753934156e-05,1.103734307,0.9998090145,0.02056887918,30,90
2,Baja California,male,0.003626036854,2.379856221e-05,1.100083955,0.9974167738,0.05467106092,30,90
2,Baja California,total,0.002212245304,1.904016425e-05,1.102822894,0.9985852656,0.04573208933,30,90
3,Baja California Sur,female,0.0006058322431,1.735865291e-05,1.103259824,0.9995224969,0.03249915454,30,90
3,Baja California Sur,male,0.003407277419,2.30415093e-05,1.099946463,0.9966973075,0.0621032354,30,90
3,Baja California Sur,total,0.002097522558,1.842904988e-05,1.102693033,0.9980206169,0.05419127524,30,90
4,Campeche,female,0.0006571640353,2.075393272e-05,1.103434949,0.9997353214,0.02451858445,30,90
4,Campeche,male,0.003984578754,4.422864875e-05,1.093014709,0.9984456219,0.04112642981,30,90
4,Campeche,total,0.002282966536,2.903679089e-05,1.098816387,0.9990681844,0.03716130619,30,90
5,Coahuila,female,0.0006463818807,1.657783281e-05,1.103940561,0.9996710307,0.02689051942,30,90
5,Coahuila,male,0.003610997441,1.836898442e-05,1.103250022,0.9973962545,0.05525996298,30,90
5,Coahuila,total,0.002164827137,1.604035441e-05,1.104704334,0.9983271646,0.05000147852,30,90
6,Colima,female,0.0006271269707,1.844574511e-05,1.103400713,0.999607116,0.02962823763,30,90
6,Colima,male,0.003713882468,2.634923332e-05,1.098987924,0.9974768116,0.05374653277,30,90
6,Colima,total,0.002183648846,2.040587565e-05,1.102238667,0.9985395286,0.04673260546,30,90
7,Chiapas,female,0.0006796492884,2.358837697e-05,1.103062966,0.9999311275,0.01256625573,30,90
7,Chiapas,male,0.004571051292,4.140862342e-05,1.095177811,0.998950299,0.03377461565,30,90
7,Chiapas,total,0.002520933885,3.029525567e-05,1.099581289,0.9994681597,0.02818013051,30,90
8,Chihuahua,female,0.0006598925491,1.688070884e-05,1.10415125,0.9997976737,0.0211479405,30,90
8,Chihuahua,male,0.003623846269,2.231824333e-05,1.100854325,0.9973430495,0.05552143934,30,90
8,Chihuahua,total,0.002190208117,1.771998579e-05,1.103703529,0.9985324034,0.04678379753,30,90
9,Ciudad de México,female,0.0006580635016,1.666974156e-05,1.104000207,0.9997872024,0.02161478416,30,90
9,Ciudad de México,male,0.003645089195,2.010615493e-05,1.102138108,0.9972404824,0.05663548179,30,90
9,Ciudad de México,total,0.002176399777,1.58832352e-05,1.104892329,0.9982830992,0.05067921678,30,90
10,Durango,female,0.000664765803,1.897559256e-05,1.103545537,0.9998145392,0.02032829155,30,90
10,Durango,male,0.003959784385,2.48647612e-05,1.100219672,0.9980165942,0.04750632506,30,90
10,Durango,total,0.002325916176,1.984709351e-05,1.103101731,0.9988367517,0.04162328912,30,90
11,Guanajuato,female,0.0006617359104,2.013605223e-05,1.103275161,0.9998691433,0.01713133785,30,90
11,Guanajuato,male,0.004027144006,3.23404848e-05,1.096996242,0.9982638019,0.04394216513,30,90
11,Guanajuato,total,0.002311820204,2.331026852e-05,1.101358417,0.9990224998,0.03817052452,30,90
12,Guerrero,female,0.0006820507764,2.325497068e-05,1.103024353,0.9999263404,0.01296502421,30,90
12,Guerrero,male,0.004548464956,4.075039348e-05,1.095236186,0.9989483262,0.03375633189,30,90
12,Guerrero,total,0.002504000008,2.902602991e-05,1.099948294,0.9994930777,0.02751078455,30,90
13,Hidalgo,female,0.0006756471766,2.166767093e-05,1.10333111,0.9999131073,0.0140514745,30,90
13,Hidalgo,male,0.004273165921,3.657709794e-05,1.096161266,0.9986932712,0.03800362552,30,90
13,Hidalgo,total,0.00237206468,2.631397193e-05,1.100694288,0.9993061034,0.03236993987,30,90
14,Jalisco,female,0.0006573060723,1.81089089e-05,1.10365841,0.999846329,0.018458916,30,90
14,Jalisco,male,0.003794439935,2.488539374e-05,1.099786398,0.9979009416,0.04893225284,30,90
14,Jalisco,total,0.00226014537,1.899924055e-05,1.103190651,0.9987596956,0.0429188475,30,90
15,México,female,0.0006615050078,1.956000957e-05,1.103594193,0.9998335792,0.01934571609,30,90
15,México,male,0.003965302833,3.038935896e-05,1.097802057,0.9980790871,0.04653474852,30,90
15,México,total,0.002299997233,2.192881562e-05,1.102119877,0.9987884398,0.04264201727,30,90
16,Michoacán,female,0.0006747084876,2.125923862e-05,1.103258604,0.9998832815,0.01623747981,30,90
16,Michoacán,male,0.004241393395,3.606966518e-05,1.096093061,0.9986155148,0.03899038749,30,90
16,Michoacán,total,0.002424807395,2.554985688e-05,1.100765667,0.9992489857,0.03337069158,30,90
17,Morelos,female,0.0006701509991,2.111494364e-05,1.103181757,0.999835098,0.01927877987,30,90
17,Morelos,male,0.004259974357,3.135050391e-05,1.097929379,0.9984517139,0.04146740572,30,90
17,Morelos,total,0.00241969237,2.332604649e-05,1.101883115,0.9990416565,0.03783519253,30,90
18,Nayarit,female,0.0006636667691,1.89445805e-05,1.103444989,0.9998176261,0.02013000825,30,90
18,Nayarit,male,0.00378445412,3.10303523e-05,1.096986134,0.9982177732,0.0447485712,30,90
18,Nayarit,total,0.002232039498,2.281491075e-05,1.101046021,0.9990389336,0.03772175665,30,90
19,Nuevo León,female,0.0006382969154,1.60601685e-05,1.103636505,0.9997370843,0.02387749386,30,90
19,Nuevo León,male,0.003431691639,1.722192554e-05,1.10357585,0.9967589533,0.06190255023,30,90
